,0
0,새로산
1,이어폰
2,사용
3,부들거림
4,애교섞
5,저
6,달팽이관
7,섬모
8,섬세
9,한층
10,역겹습니다전
11,알파카형님
12,목소리
13,고가
14,이어폰
15,구매
16,음탕
17,구독자
0,웬일
1,제목
2,들어가서형님
3,텐션
4,지
5,예상
6,안갔는데
7,영상
8,키
9,인베
10,실패
11,ㅈ됬다
12,형님
13,저도모르
14,이마
15,한대
16,쎄
17,의미
18,리븐정글
19,기원
20,일차
0,피즈
1,레전드
2,ㄱㄱㄱㄲㄱ
0,약
1,초
2,기분
3,개빡치
4,형님
5,이중성
6,구토
7,수
0,다리우스
1,탑
2,정글
3,시작
4,영상
0,잔망스러운
1,콧소리
2,앙탈
3,저녁
4,사천
5,짜장
6,나가사키
7,짬뽕
8,것
0,본심
1,알파카
0,순간적
1,육두문자
2,박아버릴려다
3,녹화신걸
4,이성
5,모습
0,앙탈
1,역겹당
0,시작
1,조옷돼버린
2,행복
3,입꼬리
4,춤
0,처음
1,제목
2,를
3,모습
4,나머지
5,저녁
6,떡볶이
7,게워냈습니
0,새끼
1,거북
2,하나
3,두
4,가는거
0,이번
1,진짜
2,개꿀잼
0,피즈궁
1,진짜
2,개암덩리
0,오늘
1,이상한
2,정글
3,알파카
4,형님
0,피즈
1,궁
2,꼴
3,못봤넥ㄱ
4,뭐
5,저런놈
6,다있냐
0,평생
1,조땐네
2,형님
0,진짜
1,피즈보다
2,치료
0,진짜
1,피즈
2,블츠
3,롤왜할까
0,세심한부분들
1,생각과판단
2,승리
3,티
4,이유중
5,하나
0,것
1,형님
2,시그니쳐
3,플레이
4,이쯤돼
5,스마킬딸
6,알파카
7,시리즈
8,정글챔프들
9,기념스킨
10,하나
0,제목
1,을
2,형님
3,줄
4,단거
5,처음아닙니까
6,행복해하시는거
7,화이팅하십쇼
8,형님궁슬때마다
9,원딜
10,극딜렝
11,정글
12,기원
13,일차
0,기여웡
1,깨물어주고시퐁
0,ㄱ
1,형
2,것
3,같아히히힛
0,피즈
1,똥
2,스트레스
3,형님
4,안쓰러웠지만
5,게임
6,교활한
7,형님
8,웃을소리
0,형님
1,이거
2,왤케
3,귀
0,제목
1,문구
2,형님
3,웃는소리
4,상상
5,구역질
6,했습니다역겨운
7,야스오
8,정글기원
9,일차
0,이젠
1,영상
2,제목
3,진짜
0,제목
1,부터
2,를
3,치
4,자신의광기
5,주체
6,것
0,렝가정글
1,데
2,엌형님
3,부탁
0,망치살
1,돈
2,불구
3,롱소드
4,구매하시
5,모습
6,자기가한
7,킬딸
8,변명
9,형님
10,모습
11,초
12,궁
13,왜그렇
14,면박넣다
15,킬먹고
16,순식간
17,모습
0,형님
1,이상한
2,픽
3,오늘
4,제목
5,모습
6,부들대
7,폰
8,다리우스
9,궁
10,내다꽂고
11,액정
12,반
13,상태
14,형님
15,영상
16,수
17,밖
0,유체화
1,다리우스
2,난입
3,한타
4,난입
5,붕쯔붕쯔
6,거리
7,종잇장
8,다리우스
9,불쌍합니다아주
10,감전
11,방관
12,아트록스
13,기원
14,일차
0,진짜
0,연속
1,신음
2,소리
0,형님
1,흥분
2,제목
3,댓글
4,수
5,무슨일
6,안봐
7,형님
8,오버액션
9,뭐
10,수
11,있져
0,제목
1,를
2,그런의미
3,갱킹속도
4,서렌
5,알리스타
6,정글
7,기원
8,일차
0,본심
0,진짜
1,형
2,말투
3,사랑
0,노현우
1,말투
0,피즈
1,머리통
0,영상
1,시작
2,자기
3,망했짜나아앙
4,모야이게
5,라
6,찡찡대는게
7,짝이없습니
0,멜모
1,팬댄
2,스테락
3,개
4,생명선
5,중첩
6,안될걸
0,꿀잼
0,애교섞
1,콧소리
2,덕분
3,어제
4,치킨
5,될거
6,감사
0,킬각
1,깝비
0,형님들
1,이번
2,영상
3,망
4,것
5,같습니다피즈
6,궁
7,때
8,쏠리는데정글
9,다리우스보다
10,역겹다니어쩔
11,수
12,업쪄
0,피즈
1,형님
2,알파카
3,형님
4,놈
5,인거
0,시작
1,좋대버린
2,게임
3,개윳기
0,사이코패스다리우슼
0,형님
1,그
2,때
3,뻘궁
4,난사하
5,피즈
6,녀석
7,줄
0,형님
1,유미정글
2,보
0,씹
1,이쉐리와이리웃기노
2,구독간다
0,형
0,피즈
1,기적
2,딜교
3,모습
4,형님
0,나
1,롤토
2,체스
3,햇나바
4,우주해적싸움
5,그브
6,다리
0,알파카
1,너무귀여워
0,형님
1,오늘
2,알로우
3,오늘
4,개
5,영상
6,진짜
7,형님
8,극치라는걸
0,멘탈
0,제목
1,형님
2,헤헤헿
3,음성지원
4,역겹습니다
0,몸
1,부작용
2,약
3,어쩔수없져
0,형님
1,제목
2,모습
0,재밌으셨으
1,제목
2,네개
3,것
4,형님
5,제목
6,전
7,저
0,그브
1,문워킹
2,수
3,블츠
4,무빙
0,라
1,안밀어주는거
2,역겹습니다
0,형님
1,덕분
2,렝겜하
0,선취점
1,ㅜㅜㅜ
0,형님
1,영상
2,제목
3,차
4,신물
5,뒤
6,영상
7,피즈
8,플레이
9,위액
10,역겨워했습니다영상
0,알로우
0,앙탈
1,진심
2,형님
0,형님
1,알로우
2,난입
3,다리우스라
4,탑
5,녀석
6,부쉬속
0,알로우
0,머리
1,개쎄
2,근데
3,피즈
4,궁
5,못맞추네
6,딜교
7,못하고개
8,구데기다
0,으앜
1,점멸이라
2,눈
3,집중
4,안대는구
0,제목
1,냄새
2,나
0,형
1,투덜대는맛에보는데
2,상황
3,망햇으면좋겟다
0,다음
1,정글러
2,누구
3,형님
0,썸네일
1,인
2,스킨
3,형님
0,형님들
1,알로우
2,때
3,사용
4,저음
0,댓글부터
1,저
2,자신
3,형님
0,제목
1,인성질하려
2,싸이코같
3,모습
4,정말
0,맙소사다리우스
1,정글
2,난입
0,형
1,형
2,성공할거
0,형
1,버프
2,데
3,보여주라ㅠ
0,다리우스정글
1,비교도
2,정글카시
3,기원
4,미친카이팅
5,미친궁극기
6,ㄷ
7,한타
8,뽀개버리
9,개사기카시오페아정글
10,꼭해주시기바
0,피즈
1,궁
2,정확도
3,형님
4,리신
5,그것
6,닮아있는것같습니다
7,댓글
8,리
9,정글
10,영상
11,리
12,해명해주시길
13,바랍니
0,야스오
1,정글
2,기원일차하겠습니다
3,라인
4,를
5,않는곳애서
6,궁으로나타
7,갱킹
8,형님
9,모습
10,보
0,편
1,밀당당하
2,모습
0,암걸릴뻔
1,저
2,마음
3,똘추라
4,단어
5,마음
0,초
1,ㄷㄷ
0,형
1,감전
2,방관
3,아트록스
4,안할생각
5,그댓
6,어디갔냨
0,형님
1,보러왔는데
2,블츠
3,피즈
4,플레이
5,화
0,아지르정글
1,부탁드
0,우디르마냥
1,태세
2,수십번
3,모습
4,역겹읍니
0,이번영상
1,저
2,정신
3,형님
0,이유
0,머리
1,개쌔
2,때
3,싶대
4,ㅇㅈ
0,우우우욱
1,다이우스
2,정글
3,요릭
4,정글
5,것
6,형님
7,시작
8,번
9,요릭
10,정글
11,기원
0,영상
1,초반
2,라이너들
3,똥
4,중후반
5,치우는거
6,신기함
0,다리우스
1,피흡
2,삭제
3,기원
0,형
1,억울
2,것
3,ㅈㄴ
0,봉풀주
1,탑
2,힐
3,탈진
4,블츠
5,형님
0,어허허
1,이소리
2,개거품물도록
0,샤워하러가
1,개꿀이긴
2,얼마전
3,다리우스
4,정글
0,형
1,앞
2,것
3,응원
0,정확
1,진단
2,말빨
3,운빨
4,모면
0,강타
1,킬딸
2,모습
0,강한정글
1,정글차이란듯
2,제목
3,역겹습니다벌
4,스카너정글
5,랭
6,판돌리셔야합니다스카너정글
7,기원
8,일차
0,형님
1,약
2,분
3,줄
4,몸
5,보약
6,저
7,꿀빨아버리
8,수
0,형
1,아이번
0,우디르
1,상위호환
0,피즈랑
1,블리츠
2,꼬락서니보
3,오늘먹
4,끼
5,토할것같네
0,행
1,모니터
2,이번판동안
3,생각만해
4,절
5,어제먹
6,탕수육
7,게워냈습니
0,다리우스
1,정글해봤는데
2,뚜벅
3,난입
4,다리우스
5,다리우스
6,땡깁니
0,보는내내
1,피즈
2,비린내때문
3,뻔
0,아주큐티합니
0,제목
1,신
2,형님
0,형
1,다리우스
2,정글이라뇨
3,도끼
4,알파카
5,털
6,뭉개버리고싶습니다사
0,를
1,애교
2,형님
0,극딜
1,정글할
2,때
3,템
4,조합
5,나
6,보기엔용사
7,칠흑
8,죽무
9,스테락
10,정도
11,인거
12,오버
13,쿨감
14,특성
15,커버
0,우욱
0,피즈님
1,궁좀맞춰주
0,렝
1,정글
2,기원
3,일차
0,형님
1,것
2,같습니다야스오
3,해주십쇼
0,알파카형님께서
1,우리집
2,카메라
3,저녁
4,도
5,뱉어낼거같습니다
6,어쩔쑤업쪄
7,형님
8,매일밤
9,유미정글
10,연습
11,것
0,영상제목
1,정말
2,블리츠
3,그렙
4,두
5,배
0,형님
1,다른말
2,필요
0,니달리
1,해줭
0,행
1,저
2,얼마전
3,레넥
4,정글
5,형님
6,하실길
0,그브
1,자주나와
2,영상
3,그브
4,카운터픽
5,메모
0,영상
1,피즈궁
2,화면
3,한번
0,이때
1,플
2,기억
3,형님
4,안쓰럽습니
0,선찍은거
1,개역겹습니
0,정글좀
1,형님
0,가정
1,알파카
0,다리우스
1,웩
0,형님
1,다리우스
2,약좀
3,수
4,있져
0,피즈
1,궁
0,형님
1,선마
2,잿불
3,라칸정글
4,어떠
0,인베
1,때
2,ㅈ될거
3,역시나네요
4,렙
5,다리우스
0,전
1,말
2,스킨
3,안쓰실거
4,쓴거
0,알파카
1,매력
2,말
0,렉사
0,왜케
1,빠먹기
2,어렵징
0,우우윽
0,알파카님빨리캠키고잘생긴얼굴보
0,애쉬
0,매력
1,것
0,너무좋아하시내요
1,머리통
2,씨게한대때려드리고싶내요
0,다리
0,솔랭
1,이런
0,피즈
1,대가
2,ㅈㄴ쎄
3,때리고싶댁ㄲㄱ루뿡삥뽕
0,유령무희
1,생명선효과
2,멜모
0,형
1,이상한거
2,협곡
3,유행
0,피즈
1,분
2,궁좀
3,전달좀
4,레알
0,피즈
1,궁
2,한번
3,처
4,못맞추
0,유령무희
1,멜모
2,모습
3,어제먹
4,치킨
5,형님
0,멍청
1,뇨속흐흫알파카
2,오래전
3,부터
4,저
5,멍청
6,역겹고귀엽기스러운
7,털복숭이입니다일루
8,이짜식
0,생방송하
0,디질래요
0,룬
1,무엇
0,피즈
1,궁
2,꼴
